what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1218542904456
stopped,bundle,org.eclipse.cdt.debug.mi.ui,4.0.3.200802251018,org.eclipse.cdt.debug.mi.ui,1218542904575
stopped,bundle,org.eclipse.cdt.launch,4.0.3.200802251018,org.eclipse.cdt.launch,1218542904576
stopped,bundle,org.eclipse.cdt.debug.ui,4.0.1.200802251018,org.eclipse.cdt.debug.ui,1218542904577
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,4.0.1.200802251018,org.eclipse.cdt.managedbuilder.ui,1218542904577
stopped,bundle,org.eclipse.cdt.make.ui,4.0.1.200802251018,org.eclipse.cdt.make.ui,1218542904578
stopped,bundle,org.eclipse.cdt.ui,4.0.3.200802251018,org.eclipse.cdt.ui,1218542904580
stopped,bundle,org.eclipse.cdt.refactoring,4.0.1.200802251018,org.eclipse.cdt.refactoring,1218542904580
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1218542904584
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1218542904585
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1218542904586
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1218542904586
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1218542904595
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1218542904596
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1218542904597
stopped,bundle,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui,1218542904640
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.bugzilla.ui,1218542904644
